f,d70,d78,d74,d7C
2166,0,0,0,0
2167,40960,193,46281,5
2168,40962,192,46282,5
2169,40962,191,46282,5
2170,40962,190,46282,5
2171,40962,189,46282,5
2172,40963,188,46283,5
2173,40963,187,46283,5
2174,40963,186,46283,5
2175,40963,185,46283,5
2176,40964,184,46284,5
2177,40964,183,46284,5
2178,40964,182,46284,5
2179,40964,181,46284,5
2180,40965,180,46285,5
2181,40965,179,46285,5
2182,40965,178,46285,5
2183,40965,177,46285,5
2184,40967,176,46286,5
2185,40967,175,46286,5
2186,40967,174,46286,5
2187,40967,173,46286,5
2188,40968,172,46287,5
2189,40968,171,46287,5
2190,40968,170,46287,5
2191,40968,169,46287,5
2192,40960,168,46281,5
2193,40960,167,46281,5
2194,40960,166,46281,5
2195,40960,165,46281,5
2196,40962,164,46282,5
2197,40962,163,46282,5
2198,40962,162,46282,5
2199,40962,161,46282,5
2200,40963,160,46283,5
2201,40963,159,46283,5
2202,40963,158,46283,5
2203,40963,157,46283,5
2204,40964,156,46284,5
2205,40964,155,46284,5
2206,40964,154,46284,5
2207,40964,153,46284,5
2208,40965,152,46285,5
2209,40965,151,46285,5
2210,40965,150,46285,5
2211,40965,149,46285,5
2212,40967,148,46286,5
2213,40967,147,46286,5
2214,40967,146,46286,5
2215,40967,145,46286,5
2216,40968,144,46287,5
2217,40968,143,46287,5
2218,40968,142,46287,5
2219,40968,141,46287,5
2220,40960,140,46281,5
2221,40960,139,46281,5
2222,40960,138,46281,5
2223,40960,137,46281,5
2224,40962,136,46282,5
2225,40962,135,46282,5
2226,40962,134,46282,5
2227,40962,133,46282,5
2228,40963,132,46283,5
2229,40963,131,46283,5
2230,40963,130,46283,5
2231,40963,129,46283,5
2232,40964,128,46284,5
2233,40964,127,46284,5
2234,40964,126,46284,5
2235,40964,125,46284,5
2236,40965,124,46285,5
2237,40965,123,46285,5
2238,40965,122,46285,5
2239,40965,121,46285,5
2240,40967,120,46286,5
2241,40967,119,46286,5
2242,40967,118,46286,5
2243,40967,117,46286,5
2244,40968,116,46287,5
2245,40968,115,46287,5
2246,40968,114,46287,5
2247,40968,113,46287,5
2248,40960,112,46281,5
2249,40960,111,46281,5
2250,40960,110,46281,5
2251,40960,109,46281,5
2252,40962,108,46282,5
2253,40962,107,46282,5
2254,40962,106,46282,5
2255,40962,105,46282,5
2256,40963,104,46283,5
2257,40963,103,46283,5
2258,40963,102,46283,5
2259,40963,101,46283,5
2260,40964,100,46284,5
2261,40964,99,46284,5
2262,40964,98,46284,5
2263,40964,97,46284,5
2264,40965,96,46285,5
2265,40965,95,46285,5
2266,40965,94,46285,5
2267,40965,93,46285,5
2268,40967,92,46286,5
2269,40967,91,46286,5
2270,40967,90,46286,5
2271,40967,89,46286,5
2272,40968,88,46287,5
2273,40968,87,46287,5
2274,40968,86,46287,5
2275,40968,85,46287,5
2276,40960,84,46281,5
2277,40960,83,46281,5
2278,40960,82,46281,5
2279,40960,81,46281,5
2280,40962,80,46282,5
2281,40962,79,46282,5
2282,40962,78,46282,5
2283,40962,77,46282,5
2284,40963,76,46283,5
2285,40963,75,46283,5
2286,40963,74,46283,5
2287,40963,73,46283,5
2288,40964,72,46284,5
2289,40964,71,46284,5
2290,40964,70,46284,5
2291,40964,69,46284,5
2292,40965,68,46285,5
2293,40965,67,46285,5
2294,40965,66,46285,5
2295,40965,65,46285,5
2296,40967,64,46286,5
